code,problem_name,score,contest_name,link,time_limit,memory_limit
arc009_1,A - 元気にお使い！高橋君,No Score,arc009,https://beta.atcoder.jp/contests/arc009/tasks/arc009_1,2,64 MB
arc009_2,B - おとぎの国の高橋君,No Score,arc009,https://beta.atcoder.jp/contests/arc009/tasks/arc009_2,2,64 MB
arc009_3,C - 高橋君、24歳,No Score,arc009,https://beta.atcoder.jp/contests/arc009/tasks/arc009_3,2,64 MB
arc009_4,D - 覚醒ノ高橋君,No Score,arc009,https://beta.atcoder.jp/contests/arc009/tasks/arc009_4,8,64 MB
arc010_1,A - 名刺交換,No Score,arc010,https://beta.atcoder.jp/contests/arc010/tasks/arc010_1,2,64 MB
arc010_2,B - 超大型連休,No Score,arc010,https://beta.atcoder.jp/contests/arc010/tasks/arc010_2,2,64 MB
arc010_3,C - 積み上げパズル,No Score,arc010,https://beta.atcoder.jp/contests/arc010/tasks/arc010_3,2,64 MB
arc010_4,D - 情報伝播,No Score,arc010,https://beta.atcoder.jp/contests/arc010/tasks/arc010_4,8,256 MB
arc011_1,A - 鉛筆リサイクルの新技術,No Score,arc011,https://beta.atcoder.jp/contests/arc011/tasks/arc011_1,2,256 MB
arc011_2,B - ルイス・キャロルの記憶術,No Score,arc011,https://beta.atcoder.jp/contests/arc011/tasks/arc011_2,2,256 MB
arc011_3,C - ダブレット,No Score,arc011,https://beta.atcoder.jp/contests/arc011/tasks/arc011_3,2,256 MB
arc011_4,D - きつねさんからの挑戦状,No Score,arc011,https://beta.atcoder.jp/contests/arc011/tasks/arc011_4,2,256 MB
arc012_1,A - 週末,No Score,arc012,https://beta.atcoder.jp/contests/arc012/tasks/arc012_1,2,64 MB
arc012_2,B - アキレスと亀,No Score,arc012,https://beta.atcoder.jp/contests/arc012/tasks/arc012_2,2,64 MB
arc012_3,C - 五目並べチェッカー,No Score,arc012,https://beta.atcoder.jp/contests/arc012/tasks/arc012_3,2,64 MB
arc012_4,D - Don&#39;t worry. Be Together,No Score,arc012,https://beta.atcoder.jp/contests/arc012/tasks/arc012_4,4,256 MB
arc013_1,A - 梱包できるかな？,No Score,arc013,https://beta.atcoder.jp/contests/arc013/tasks/arc013_1,2,64 MB
arc013_2,B - 引越しできるかな？,No Score,arc013,https://beta.atcoder.jp/contests/arc013/tasks/arc013_2,2,64 MB
arc013_3,C - 笑いをとれるかな？,No Score,arc013,https://beta.atcoder.jp/contests/arc013/tasks/arc013_3,2,64 MB
arc013_4,D - 切り分けできるかな？,No Score,arc013,https://beta.atcoder.jp/contests/arc013/tasks/arc013_4,2,64 MB
arc014_1,A - 君が望むなら世界中全てのたこ焼きを赤と青に染め上げよう,No Score,arc014,https://beta.atcoder.jp/contests/arc014/tasks/arc014_1,2,64 MB
arc014_2,B - あの日したしりとりの結果を僕達はまだ知らない。,No Score,arc014,https://beta.atcoder.jp/contests/arc014/tasks/arc014_2,2,64 MB
arc014_3,C - 魂の還る場所,No Score,arc014,https://beta.atcoder.jp/contests/arc014/tasks/arc014_3,2,64 MB
arc014_4,D - grepマスター,No Score,arc014,https://beta.atcoder.jp/contests/arc014/tasks/arc014_4,4,256 MB
arc015_1,A - Celsius と Fahrenheit,No Score,arc015,https://beta.atcoder.jp/contests/arc015/tasks/arc015_1,2,64 MB
arc015_2,B - 真冬日？真夏日？,No Score,arc015,https://beta.atcoder.jp/contests/arc015/tasks/arc015_2,2,64 MB
arc015_3,C - 変わった単位,No Score,arc015,https://beta.atcoder.jp/contests/arc015/tasks/arc015_3,2,64 MB
arc015_4,D - きんいろクッキー,No Score,arc015,https://beta.atcoder.jp/contests/arc015/tasks/arc015_4,2,64 MB
arc016_1,A - クイズゲーム,No Score,arc016,https://beta.atcoder.jp/contests/arc016/tasks/arc016_1,2,64 MB
arc016_2,B - 音楽ゲーム,No Score,arc016,https://beta.atcoder.jp/contests/arc016/tasks/arc016_2,2,64 MB
arc016_3,C - ソーシャルゲーム,No Score,arc016,https://beta.atcoder.jp/contests/arc016/tasks/arc016_3,2,64 MB
arc016_4,D - 軍艦ゲーム,No Score,arc016,https://beta.atcoder.jp/contests/arc016/tasks/arc016_4,2,64 MB
arc017_1,A - 素数、コンテスト、素数,No Score,arc017,https://beta.atcoder.jp/contests/arc017/tasks/arc017_1,2,256 MB
arc017_2,B - 解像度が低い。,No Score,arc017,https://beta.atcoder.jp/contests/arc017/tasks/arc017_2,2,256 MB
arc017_3,C - 無駄なものが嫌いな人,No Score,arc017,https://beta.atcoder.jp/contests/arc017/tasks/arc017_3,2,256 MB
arc017_4,D - ARCたんクッキー,No Score,arc017,https://beta.atcoder.jp/contests/arc017/tasks/arc017_4,2,256 MB
arc018_1,A - BMI,No Score,arc018,https://beta.atcoder.jp/contests/arc018/tasks/arc018_1,2,256 MB
arc018_2,B - 格子点と整数,No Score,arc018,https://beta.atcoder.jp/contests/arc018/tasks/arc018_2,2,256 MB
arc018_3,C - 席替え,No Score,arc018,https://beta.atcoder.jp/contests/arc018/tasks/arc018_3,2,256 MB
arc018_4,D - 僕は友達が少ない,No Score,arc018,https://beta.atcoder.jp/contests/arc018/tasks/arc018_4,3,256 MB
arc019_1,A - お買い物クライシス,No Score,arc019,https://beta.atcoder.jp/contests/arc019/tasks/arc019_1,2,256 MB
arc019_2,B - こだわりの名前,No Score,arc019,https://beta.atcoder.jp/contests/arc019/tasks/arc019_2,2,256 MB
arc019_3,C - 最後の森,No Score,arc019,https://beta.atcoder.jp/contests/arc019/tasks/arc019_3,2,256 MB
arc019_4,D - ほんとうのたたかい,No Score,arc019,https://beta.atcoder.jp/contests/arc019/tasks/arc019_4,2,256 MB
arc020_1,A - 石を滑らせるゲーム,No Score,arc020,https://beta.atcoder.jp/contests/arc020/tasks/arc020_1,2,256 MB
arc020_2,B - 縞模様,No Score,arc020,https://beta.atcoder.jp/contests/arc020/tasks/arc020_2,2,256 MB
arc020_3,C - A mod B Problem,No Score,arc020,https://beta.atcoder.jp/contests/arc020/tasks/arc020_3,2,256 MB
arc020_4,D - お菓子の国の旅行,No Score,arc020,https://beta.atcoder.jp/contests/arc020/tasks/arc020_4,2,256 MB
arc021_1,A - DEAD END,No Score,arc021,https://beta.atcoder.jp/contests/arc021/tasks/arc021_1,2,256 MB
arc021_2,B - Your Numbers are XORed...,No Score,arc021,https://beta.atcoder.jp/contests/arc021/tasks/arc021_2,2,256 MB
arc021_3,C - 増築王高橋君,No Score,arc021,https://beta.atcoder.jp/contests/arc021/tasks/arc021_3,2,256 MB
